央视频道,#genre#
CCTV-1,http://223.110.255.208:6610/jsyd/live1/G_CCTV-1-MD/G_CCTV-1-MD/1.m3u8
CCTV-2,http://223.110.255.209:6610/jsyd/live1/G_CCTV-2-MD/G_CCTV-2-MD/1.m3u8
CCTV-3,http://223.110.255.157:6610/gitv/live1/G_CCTV-3-AVS-4K264/G_CCTV-3-AVS-4K264/1.m3u8
CCTV-4,http://223.110.255.146:6610/jsyd/live1/G_CCTV-4-MD/G_CCTV-4-MD/1.m3u8
CCTV-5,http://223.110.255.206:6610/gitv/live1/G_CCTV-5-AVS-4K264/G_CCTV-5-AVS-4K264/1.m3u8
CCTV-5+,http://223.110.255.205:6610/jsyd/live1/G_CCTV-5PLUS-MD/G_CCTV-5PLUS-MD/1.m3u8
CCTV-6,http://223.110.255.198:6610/jsyd/live1/G_CCTV-6-MD/G_CCTV-6-MD/1.m3u8
CCTV-7,http://223.110.255.158:6610/cntv/live1/H265-12000k-1080P-CCTV7/H265-12000k-1080P-CCTV7/1.m3u8
CCTV-8,http://223.110.255.207:6610/gitv/live1/G_CCTV-8-AVS-4K264/G_CCTV-8-AVS-4K264/1.m3u8
CCTV-9,http://223.110.255.155:6610/gitv/live1/G_CCTV-9-HD-265-5M/G_CCTV-9-HD-265-5M/1.m3u8
CCTV-10,http://223.110.255.145:6610/cntv/live1/H265-5500k-1080P-CCTV10/H265-5500k-1080P-CCTV10/1.m3u8
CCTV-11,http://223.110.255.200:6610/cntv/live1/H265-5500k-1080P-CCTV11/H265-5500k-1080P-CCTV11/1.m3u8
CCTV-12,http://223.110.255.154:6610/cntv/live1/H265-5500k-1080P-CCTV12/H265-5500k-1080P-CCTV12/1.m3u8
CCTV-13,http://223.110.255.142:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/1.m3u8
CCTV-14,http://223.110.255.136:6610/cntv/live1/H265-5500k-1080P-CCTV14/H265-5500k-1080P-CCTV14/1.m3u8
CCTV-15,http://223.110.255.200:6610/cntv/live1/H265-5500k-1080P-CCTV15/H265-5500k-1080P-CCTV15/1.m3u8
CCTV-16,http://223.110.255.142:6610/cntv/live1/HD-8000k-1080P-CCTV16/HD-8000k-1080P-CCTV16/1.m3u8
CCTV-17,http://223.110.255.208:6610/cntv/live1/H265-5500k-1080P-CCTV17/H265-5500k-1080P-CCTV17/1.m3u8

卫士频道,#genre#
湖南卫视,http://223.110.255.203:6610/jsyd/live1/G_HUNAN-MD/G_HUNAN-MD/1.m3u8
江苏卫视,http://223.110.255.157:6610/jsyd/live1/G_JIANGSU-MD/G_JIANGSU-MD/1.m3u8
北京卫视,http://223.110.255.208:6610/jsyd/live1/G_BEIJING-MD/G_BEIJING-MD/1.m3u8
天津卫视,http://223.110.255.146:6610/jsyd/live1/G_TIANJIN-MD/G_TIANJIN-MD/1.m3u8
浙江卫视,http://223.110.255.143:6610/jsyd/live1/G_ZHEJIANG-MD/G_ZHEJIANG-MD/1.m3u8
东方卫视,http://223.110.255.199:6610/jsyd/live1/G_DONGFANG-MD/G_DONGFANG-MD/1.m3u8
安徽卫视,http://223.110.255.155:6610/jsyd/live1/G_ANHUI-MD/G_ANHUI-MD/1.m3u8
东南卫视,http://223.110.255.131:6610/cntv/live1/H265-5500k-1080P-dongnanstv/H265-5500k-1080P-dongnanstv/1.m3u8
云南卫视,http://223.110.255.199:6610/cntv/live1/n-yntv1/n-yntv1/1.m3u8
四川卫视,http://223.110.255.208:6610/gitv/live1/G_SICHUAN-CQ/G_SICHUAN-CQ/1.m3u8
山东卫视,http://223.110.255.131:6610/jsyd/live1/G_SHANDONG-MD/G_SHANDONG-MD/1.m3u8
广东卫视,http://223.110.255.204:6610/jsyd/live1/G_GUANGDONG-MD/G_GUANGDONG-MD/1.m3u8
广西卫视,http://223.110.255.194:6610/cntv/live1/n-guangxistv/n-guangxistv/1.m3u8
江西卫视,http://223.110.255.208:6610/cntv/live1/H265-5500k-1080P-jiangxistv/H265-5500k-1080P-jiangxistv/1.m3u8
河北卫视,http://223.110.255.194:6610/gitv/live1/G_HEBEI-CQ/G_HEBEI-CQ/1.m3u8
河南卫视,http://223.110.255.204:6610/gitv/live1/G_HENAN-CQ/G_HENAN-CQ/1.m3u8
海南卫视,http://223.110.255.206:6610/cntv/live1/SD-4000k-576P-lvyoustv/SD-4000k-576P-lvyoustv/1.m3u8
深圳卫视,http://223.110.255.156:6610/jsyd/live1/G_SHENZHEN-MD/G_SHENZHEN-MD/1.m3u8
湖北卫视,http://223.110.255.160:6610/jsyd/live1/G_HUBEI-MD/G_HUBEI-MD/1.m3u8
甘肃卫视,http://223.110.255.143:6610/cntv/live1/n-gansustv/n-gansustv/1.m3u8
黑龙江卫视,http://223.110.255.152:6610/jsyd/live1/G_HEILONGJIANG-MD/G_HEILONGJIANG-MD/1.m3u8
辽宁卫视,http://223.110.255.206:6610/jsyd/live1/G_LIAONING-MD/G_LIAONING-MD/1.m3u8
吉林卫视,http://223.110.255.202:6610/gitv/live1/G_JILIN-CQ/G_JILIN-CQ/1.m3u8
重庆卫视,http://223.110.255.204:6610/cntv/live1/H265-5500k-1080P-chongqingstv/H265-5500k-1080P-chongqingstv/1.m3u8
山西卫视,http://223.110.255.152:6610/cntv/live1/n-shanxistv/n-shanxistv/1.m3u8
陕西卫视,http://223.110.255.149:6610/cntv/live1/n-shanxi1stv/n-shanxi1stv/1.m3u8
广州卫视,http://223.110.255.207:6610/gitv/live1/G_GUIZHOU-CQ/G_GUIZHOU-CQ/1.m3u8
